MOF,MOFid,CO2_wc_001,CO2_wc_005,CO2_wc_01,CO2_wc_05,CO2_wc_25,metal_node,organic_linker,len_linkers
hMOF-5066387,FC1Cc2c1c(ccc2C(=O)[O-])C(=O)[O-].FC1c2nccnc2C1(F)F.[Cu][Cu].[O-]C(=O)C12CC(F)C(C(C1F)(F)F)(C(C2F)(F)F)C(=O)[O-] MOFid-v1.pcu.cat0;5066387,0.500478,1.57162,2.39489,3.91361,5.37895,[Cu][Cu],"['FC1Cc2c1c(ccc2C(=O)[O-])C(=O)[O-]', 'FC1c2nccnc2C1(F)F', '[O-]C(=O)C12CC(F)C(C(C1F)(F)F)(C(C2F)(F)F)C(=O)[O-]']",3
hMOF-35480,Clc1cc(ccc1c1ccc(c(c1Cl)Cl)C(=O)[O-])c1ccc(cc1)C(=O)[O-].Clc1nccc(c1)c1ccc(c(c1Cl)Cl)c1cc(Cl)nc(c1Cl)Cl.[Cu][Cu].[O-]C(=O)C1=C(Cl)C(=c2c(=[C]1)c1cc(Cl)c(c(c1cc2Cl)C(=O)[O-])Cl)Cl MOFid-v1.pcu.cat1,0.257633,1.06842,2.06566,5.64411,7.83734,[Cu][Cu],"['Clc1cc(ccc1c1ccc(c(c1Cl)Cl)C(=O)[O-])c1ccc(cc1)C(=O)[O-]', 'Clc1nccc(c1)c1ccc(c(c1Cl)Cl)c1cc(Cl)nc(c1Cl)Cl', '[O-]C(=O)C1=C(Cl)C(=c2c(=[C]1)c1cc(Cl)c(c(c1cc2Cl)C(=O)[O-])Cl)Cl']",3
hMOF-5079838,CCc1cc(C(=O)[O-])c(cc1N1[C]c2ccc3c4c2c(C1=O)cc(c4C(=O)N(C3=O)c1cc(CC)c(c(c1)CC)C(=O)[O-])CC)CC.CCc1cc2cc(cc3c2c2c1=[C]C(=Cc2c(c3CC)CC)C(=O)[O-])C(=O)[O-].CCc1ncc2c3c1ccc1c3c(cc2CC)cnc1.[Cu][Cu] MOFid-v1.pcu.cat1;5079838,2.08599,4.70731,5.84354,8.02385,9.13914,[Cu][Cu],"['CCc1cc(C(=O)[O-])c(cc1N1[C]c2ccc3c4c2c(C1=O)cc(c4C(=O)N(C3=O)c1cc(CC)c(c(c1)CC)C(=O)[O-])CC)CC', 'CCc1cc2cc(cc3c2c2c1=[C]C(=Cc2c(c3CC)CC)C(=O)[O-])C(=O)[O-]', 'CCc1ncc2c3c1ccc1c3c(cc2CC)cnc1']",3
hMOF-5072568,Nc1cc2nc3ccc(c(c3nc2c(c1N)N)N)N.Nc1ccc2c(c1)c(C(=O)[O-])c1c(c2C(=O)[O-])C(=C[C]=C1)N.[O-]C(=O)C#CC12C3(N)C4(C2(C2(C1(C3(C42C#CC(=O)[O-])N)N)N)N)N.[Cu][Cu] MOFid-v1.pcu.cat0;5072568,0.490772,1.54745,2.10331,3.54486,5.19318,[Cu][Cu],"['Nc1cc2nc3ccc(c(c3nc2c(c1N)N)N)N', 'Nc1ccc2c(c1)c(C(=O)[O-])c1c(c2C(=O)[O-])C(=C[C]=C1)N', '[O-]C(=O)C#CC12C3(N)C4(C2(C2(C1(C3(C42C#CC(=O)[O-])N)N)N)N)N']",3
hMOF-5068579,CCCC1CC2(C#CC(=O)[O-])C(C(C1(C#CC(=O)[O-])C(C2(CCC)CCC)CCC)CCC)CCC.CCCc1ccc2c(c1)c(ccc2C(=O)[O-])C(=O)[O-].CCCc1cnc2c(n1)cc(c(c2)CCC)CCC.[Cu][Cu] MOFid-v1.pcu.cat0;5068579,0.842214,1.71908,2.15773,2.99917,3.6753,[Cu][Cu],"['CCCC1CC2(C#CC(=O)[O-])C(C(C1(C#CC(=O)[O-])C(C2(CCC)CCC)CCC)CCC)CCC', 'CCCc1ccc2c(c1)c(ccc2C(=O)[O-])C(=O)[O-]', 'CCCc1cnc2c(n1)cc(c(c2)CCC)CCC']",3
hMOF-5068164,Cc1cc(C(=O)[O-])c(cc1N=Nc1c(C)cc(c(c1C)C)C(=O)[O-])C.Cc1cc(ccc1N=Nc1ccc(cc1C)C(=O)[O-])C(=O)[O-].N#CC12CC(C)(C)C(C(C1)(C)C)(C(C2(C)C)(C)C)C#N.[Cu][Cu] MOFid-v1.pcu.cat1;5068164,0.357129,1.49161,2.90411,6.88862,9.92878,[Cu][Cu],"['Cc1cc(C(=O)[O-])c(cc1N=Nc1c(C)cc(c(c1C)C)C(=O)[O-])C', 'Cc1cc(ccc1N=Nc1ccc(cc1C)C(=O)[O-])C(=O)[O-]', 'N#CC12CC(C)(C)C(C(C1)(C)C)(C(C2(C)C)(C)C)C#N']",3
hMOF-30507,CCCC(=C(C(=O)[O-])CCC)C(=O)[O-].CCCc1ncc(nc1)CCC.[Cu][Cu].[O-]C(=O)c1ccc(cc1)C(=O)[O-] MOFid-v1.pcu.cat0,1.28125,2.70134,3.22819,3.74356,3.89941,[Cu][Cu],"['CCCC(=C(C(=O)[O-])CCC)C(=O)[O-]', 'CCCc1ncc(nc1)CCC', '[O-]C(=O)c1ccc(cc1)C(=O)[O-]']",3
hMOF-36835,Fc1ncc2c3c1ccc1c3c(c(c2F)F)cnc1.[Cu][Cu].[O-]C(=O)C1=[C]c2cc(F)c3c4c2c(=C1F)cc(c4c(c(c3)C(=O)[O-])F)F.[O-]C(=O)c1cc2c(F)cc3=C(F)C(=[C]c4c3c2c(c1)c(F)c4F)C(=O)[O-] MOFid-v1.pcu.cat1,1.50049,2.58286,3.5656,5.43708,6.4485,[Cu][Cu],"['Fc1ncc2c3c1ccc1c3c(c(c2F)F)cnc1', '[O-]C(=O)C1=[C]c2cc(F)c3c4c2c(=C1F)cc(c4c(c(c3)C(=O)[O-])F)F', '[O-]C(=O)c1cc2c(F)cc3=C(F)C(=[C]c4c3c2c(c1)c(F)c4F)C(=O)[O-]']",3
hMOF-5073392,CC1C(C)C2(C#N)C(C(C1(C#N)C(C2C)C)C)C.[Cu][Cu].[O-]C(=O)C#CC12CC(C)(C)C(CC1C)(C(C2C)C)C#CC(=O)[O-].[O-]C(=O)C#CC12CC(C)C(C(C1C)C)(C(C2(C)C)(C)C)C#CC(=O)[O-] MOFid-v1.pcu.cat1;5073392,0.328711,1.327,2.29192,5.24801,7.40792,[Cu][Cu],"['CC1C(C)C2(C#N)C(C(C1(C#N)C(C2C)C)C)C', '[O-]C(=O)C#CC12CC(C)(C)C(CC1C)(C(C2C)C)C#CC(=O)[O-]', '[O-]C(=O)C#CC12CC(C)C(C(C1C)C)(C(C2(C)C)(C)C)C#CC(=O)[O-]']",3
hMOF-28014,FC1=CC(=C[C]=C1C1=[C]C(=C(C=C1)C(=O)[O-])F)C(=O)[O-].Fc1nc(F)cc(c1)c1cc(F)ncc1F.[Cu][Cu].[O-]C(=O)C#CC(=O)[O-] MOFid-v1.pcu.cat1,0.432597,1.77761,2.81881,4.34802,5.02357,[Cu][Cu],"['FC1=CC(=C[C]=C1C1=[C]C(=C(C=C1)C(=O)[O-])F)C(=O)[O-]', 'Fc1nc(F)cc(c1)c1cc(F)ncc1F', '[O-]C(=O)C#CC(=O)[O-]']",3
