MOF,MOFid,CO2_wc_001,CO2_wc_005,CO2_wc_01,CO2_wc_05,CO2_wc_25,metal_node,organic_linker,len_linkers
hMOF-5017526,N#CC(=CC(=O)[O-])C(=O)[O-].N#CC12C3C4C2(C2C1C3(C42)C#CC(=O)[O-])C#CC(=O)[O-].[O-]C(=O)C=CC(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat1;5017526,0.233834,1.08997,2.15993,4.71841,6.34588,[Zn][O]([Zn])([Zn])[Zn],"['N#CC(=CC(=O)[O-])C(=O)[O-]', 'N#CC12C3C4C2(C2C1C3(C42)C#CC(=O)[O-])C#CC(=O)[O-]', '[O-]C(=O)C=CC(=O)[O-]']",3
hMOF-166,[O-]C(=O)c1cc(C)c(cc1C)C(=O)[O-].[O-]C(=O)c1cc(C)c(cc1C)c1ccc(c(c1C)C)C(=O)[O-].[O-]C(=O)c1ccc(c(c1)C)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat1,0.271873,1.31389,2.23403,4.67923,6.51058,[Zn][O]([Zn])([Zn])[Zn],"['[O-]C(=O)c1cc(C)c(cc1C)C(=O)[O-]', '[O-]C(=O)c1cc(C)c(cc1C)c1ccc(c(c1C)C)C(=O)[O-]', '[O-]C(=O)c1ccc(c(c1)C)C(=O)[O-]']",3
hMOF-16329,[O-]C(=O)c1cc(F)c2c(c1F)cc(c(c2F)C(=O)[O-])F.[O-]C(=O)c1cc2c(F)c(F)c(c(c2c(c1F)F)F)C(=O)[O-].[O-]C(=O)c1cc2c(cc1F)ccc1c2c(F)cc2c1c(F)c(c(c2F)F)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat1,0.617656,1.77293,2.94732,6.83682,8.91162,[Zn][O]([Zn])([Zn])[Zn],"['[O-]C(=O)c1cc(F)c2c(c1F)cc(c(c2F)C(=O)[O-])F', '[O-]C(=O)c1cc2c(F)c(F)c(c(c2c(c1F)F)F)C(=O)[O-]', '[O-]C(=O)c1cc2c(cc1F)ccc1c2c(F)cc2c1c(F)c(c(c2F)F)C(=O)[O-]']",3
hMOF-5019804,ClC1=C(Cl)C(=C([C]=C1[C]=[C]C1=[C]C=C(C=C1)C(=O)[O-])Cl)C(=O)[O-].[O-]C(=O)C1=C(Cl)C=C([C]=C1)C1=CC(=C(C=[C]1)C(=O)[O-])Cl.[O-]C(=O)c1ccc(cc1Cl)c1ccc(c(c1Cl)Cl)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat2;5019804,0.429147,1.48809,2.23027,4.32428,5.64179,[Zn][O]([Zn])([Zn])[Zn],"['ClC1=C(Cl)C(=C([C]=C1[C]=[C]C1=[C]C=C(C=C1)C(=O)[O-])Cl)C(=O)[O-]', '[O-]C(=O)C1=C(Cl)C=C([C]=C1)C1=CC(=C(C=[C]1)C(=O)[O-])Cl', '[O-]C(=O)c1ccc(cc1Cl)c1ccc(c(c1Cl)Cl)C(=O)[O-]']",3
hMOF-5003110,ClC1[CH]c2c1c(C(=O)[O-])c(c(c2C(=O)[O-])Cl)Cl.Cl[C]1Cc2c1c(C(=O)[O-])c(cc2C(=O)[O-])Cl.[O-]C(=O)C#CC#CC#CC(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat1,0.425224,1.47887,2.10676,4.04497,6.27732,[Zn][O]([Zn])([Zn])[Zn],"['ClC1[CH]c2c1c(C(=O)[O-])c(c(c2C(=O)[O-])Cl)Cl', 'Cl[C]1Cc2c1c(C(=O)[O-])c(cc2C(=O)[O-])Cl', '[O-]C(=O)C#CC#CC#CC(=O)[O-]']",3
hMOF-15254,[O-]C(=O)c1cc(N)c2c(c1N)c1ccc(c(c1c(c2N)N)C(=O)[O-])N.[O-]C(=O)c1cc2c3c(N)cc(c(c3cc(c2c(c1N)N)N)C(=O)[O-])N.[O-]C(=O)c1cc2cc(N)c3c4c2c(c1N)ccc4c(c(c3)C(=O)[O-])N.[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat1,0.359292,1.20725,2.2481,4.79349,6.99854,[Zn][O]([Zn])([Zn])[Zn],"['[O-]C(=O)c1cc(N)c2c(c1N)c1ccc(c(c1c(c2N)N)C(=O)[O-])N', '[O-]C(=O)c1cc2c3c(N)cc(c(c3cc(c2c(c1N)N)N)C(=O)[O-])N', '[O-]C(=O)c1cc2cc(N)c3c4c2c(c1N)ccc4c(c(c3)C(=O)[O-])N']",3
hMOF-5003108,Cl[C]1Cc2c1c(C(=O)[O-])c(cc2C(=O)[O-])Cl.[O-]C(=O)C#CC#CC#CC(=O)[O-].[O-]C(=O)c1cc(Cl)c(c2c1C(Cl)[C]2Cl)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat1,0.589057,1.60682,2.69871,4.90362,6.36514,[Zn][O]([Zn])([Zn])[Zn],"['Cl[C]1Cc2c1c(C(=O)[O-])c(cc2C(=O)[O-])Cl', '[O-]C(=O)C#CC#CC#CC(=O)[O-]', '[O-]C(=O)c1cc(Cl)c(c2c1C(Cl)[C]2Cl)C(=O)[O-]']",3
hMOF-5009206,FC1CC2(CCC1(CC2F)C(=O)[O-])C(=O)[O-].[O-]C(=O)c1ccc(c(c1)F)C(=O)[O-].[O-]C(=O)c1ccc(c(c1F)F)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat1,1.44255,3.45446,3.84295,4.46997,4.99469,[Zn][O]([Zn])([Zn])[Zn],"['FC1CC2(CCC1(CC2F)C(=O)[O-])C(=O)[O-]', '[O-]C(=O)c1ccc(c(c1)F)C(=O)[O-]', '[O-]C(=O)c1ccc(c(c1F)F)C(=O)[O-]']",3
hMOF-5010263,FC1C(F)C2(CCC1(CC2)C(=O)[O-])C(=O)[O-].[O-]C(=O)C12CC(F)(F)C(CC1F)(C(C2F)F)C(=O)[O-].[O-]C(=O)c1ccc2c(c1)cc(c(c2)C(=O)[O-])F.[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat1,2.44825,2.86033,2.9317,2.94994,3.13853,[Zn][O]([Zn])([Zn])[Zn],"['FC1C(F)C2(CCC1(CC2)C(=O)[O-])C(=O)[O-]', '[O-]C(=O)C12CC(F)(F)C(CC1F)(C(C2F)F)C(=O)[O-]', '[O-]C(=O)c1ccc2c(c1)cc(c(c2)C(=O)[O-])F']",3
hMOF-1724,FC1Cc2c1c(ccc2C(=O)[O-])C(=O)[O-].[O-]C(=O)C#Cc1c(F)c(F)c(c(c1F)F)C#CC(=O)[O-].[O-]C(=O)c1c(F)c(F)c(c2c1C(F)C2(F)F)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat1,1.06659,2.65138,3.49533,5.37187,7.29389,[Zn][O]([Zn])([Zn])[Zn],"['FC1Cc2c1c(ccc2C(=O)[O-])C(=O)[O-]', '[O-]C(=O)C#Cc1c(F)c(F)c(c(c1F)F)C#CC(=O)[O-]', '[O-]C(=O)c1c(F)c(F)c(c2c1C(F)C2(F)F)C(=O)[O-]']",3
