uuid,molecule,fragments,linker,anchor_1,anchor_2,energy
0,O=C([O-])c1ccc(-c2ccc(-c3ccc(C(=O)[O-])c(F)c3F)cc2)c(F)c1F,O=C([O-])c1cccc(F)c1F.O=C([O-])c1cccc(F)c1F,c1ccccc1,6,17,55.530338442422284
1,O=C([O-])c1ccc(-c2ccc(-c3ccc(C(=O)[O-])c(F)c3F)cc2)c(F)c1F,O=C([O-])c1cccc(F)c1F.O=C([O-])c1cccc(F)c1F,c1ccccc1,6,17,55.540609737730385
2,O=C([O-])c1ccc(-c2ccc(-c3ccc(C(=O)[O-])c(F)c3F)cc2)c(F)c1F,O=C([O-])c1cccc(F)c1F.O=C([O-])c1cccc(F)c1F,c1ccccc1,6,17,55.60647515582184
3,O=C([O-])c1ccc(-c2ccc(-c3ccc(C(=O)[O-])c(F)c3F)cc2)c(F)c1F,O=C([O-])c1cccc(F)c1F.O=C([O-])c1cccc(F)c1F,c1ccccc1,6,17,55.61207367385262
4,O=C([O-])c1ccc(-c2ccc(-c3ccc(C(=O)[O-])c(F)c3F)cc2)c(F)c1F,O=C([O-])c1cccc(F)c1F.O=C([O-])c1cccc(F)c1F,c1ccccc1,6,17,55.62233730472542
5,O=C([O-])c1ccc(-c2ccc(-c3ccc(C(=O)[O-])c(F)c3F)cc2)c(F)c1F,O=C([O-])c1cccc(F)c1F.O=C([O-])c1cccc(F)c1F,c1ccccc1,6,17,55.62233739649507
6,O=C([O-])c1ccc(-c2ccc(-c3ccc(C(=O)[O-])c(F)c3F)cc2)c(F)c1F,O=C([O-])c1cccc(F)c1F.O=C([O-])c1cccc(F)c1F,c1ccccc1,6,17,55.627599759750225
7,O=C([O-])c1ccc(-c2ccc(-c3ccc(C(=O)[O-])c(F)c3F)cc2)c(F)c1F,O=C([O-])c1cccc(F)c1F.O=C([O-])c1cccc(F)c1F,c1ccccc1,6,17,55.68820617652451
8,O=C([O-])c1ccc(-c2ccc(-c3ccc(C(=O)[O-])c(F)c3F)cc2)c(F)c1F,O=C([O-])c1cccc(F)c1F.O=C([O-])c1cccc(F)c1F,c1ccccc1,6,17,55.70933089350322
9,O=C([O-])c1ccc(-c2ccc(-c3ccc(C(=O)[O-])c(F)c3F)cc2)c(F)c1F,O=C([O-])c1cccc(F)c1F.O=C([O-])c1cccc(F)c1F,c1ccccc1,6,17,55.70933097865641
10,Cc1cc(C(=O)[O-])ccc1-c1ccc(-c2c(C)c(C)c(C(=O)[O-])c(C)c2C)cc1C,Cc1cc(C)c(C)c(C(=O)[O-])c1C.Cc1cccc(C(=O)[O-])c1,Cc1ccccc1,4,22,89.07665384053755
11,Cc1cc(C(=O)[O-])ccc1-c1ccc(-c2c(C)c(C)c(C(=O)[O-])c(C)c2C)cc1C,Cc1cc(C)c(C)c(C(=O)[O-])c1C.Cc1cccc(C(=O)[O-])c1,Cc1ccccc1,4,22,89.07667535056643
12,Cc1cc(C(=O)[O-])ccc1-c1ccc(-c2c(C)c(C)c(C(=O)[O-])c(C)c2C)cc1C,Cc1cc(C)c(C)c(C(=O)[O-])c1C.Cc1cccc(C(=O)[O-])c1,Cc1ccccc1,4,22,89.07886398554952
13,Cc1cc(C(=O)[O-])ccc1-c1ccc(-c2c(C)c(C)c(C(=O)[O-])c(C)c2C)cc1C,Cc1cc(C)c(C)c(C(=O)[O-])c1C.Cc1cccc(C(=O)[O-])c1,Cc1ccccc1,4,22,89.0863684153937
14,Cc1cc(C(=O)[O-])ccc1-c1ccc(-c2c(C)c(C)c(C(=O)[O-])c(C)c2C)cc1C,Cc1cc(C)c(C)c(C(=O)[O-])c1C.Cc1cccc(C(=O)[O-])c1,Cc1ccccc1,4,22,89.08830993333423
15,Cc1cc(C(=O)[O-])ccc1-c1ccc(-c2c(C)c(C)c(C(=O)[O-])c(C)c2C)cc1C,Cc1cc(C)c(C)c(C(=O)[O-])c1C.Cc1cccc(C(=O)[O-])c1,Cc1ccccc1,4,22,89.08830993538395
16,Cc1cc(C(=O)[O-])ccc1-c1ccc(-c2c(C)c(C)c(C(=O)[O-])c(C)c2C)cc1C,Cc1cc(C)c(C)c(C(=O)[O-])c1C.Cc1cccc(C(=O)[O-])c1,Cc1ccccc1,4,22,89.08831006650752
17,Cc1cc(C(=O)[O-])ccc1-c1ccc(-c2c(C)c(C)c(C(=O)[O-])c(C)c2C)cc1C,Cc1cc(C)c(C)c(C(=O)[O-])c1C.Cc1cccc(C(=O)[O-])c1,Cc1ccccc1,4,22,89.08832557124832
18,Cc1cc(C(=O)[O-])ccc1-c1ccc(-c2c(C)c(C)c(C(=O)[O-])c(C)c2C)cc1C,Cc1cc(C)c(C)c(C(=O)[O-])c1C.Cc1cccc(C(=O)[O-])c1,Cc1ccccc1,4,22,89.17298324443367
19,Cc1cc(-c2ccc(-c3ccc(C(=O)[O-])cc3C)c(C)c2)c(C)cc1C(=O)[O-],Cc1ccc(C)c(C(=O)[O-])c1.Cc1cccc(C(=O)[O-])c1,Cc1ccccc1,9,13,70.25637796129743
20,Cc1cc(-c2ccc(-c3ccc(C(=O)[O-])cc3C)c(C)c2)c(C)cc1C(=O)[O-],Cc1ccc(C)c(C(=O)[O-])c1.Cc1cccc(C(=O)[O-])c1,Cc1ccccc1,9,13,70.29019715948604
21,Cc1cc(-c2ccc(-c3ccc(C(=O)[O-])cc3C)c(C)c2)c(C)cc1C(=O)[O-],Cc1ccc(C)c(C(=O)[O-])c1.Cc1cccc(C(=O)[O-])c1,Cc1ccccc1,9,13,70.29092785716698
22,Cc1cc(-c2ccc(-c3ccc(C(=O)[O-])cc3C)c(C)c2)c(C)cc1C(=O)[O-],Cc1ccc(C)c(C(=O)[O-])c1.Cc1cccc(C(=O)[O-])c1,Cc1ccccc1,9,13,70.38289764426979
23,Cc1cc(-c2ccc(-c3ccc(C(=O)[O-])cc3C)c(C)c2)c(C)cc1C(=O)[O-],Cc1ccc(C)c(C(=O)[O-])c1.Cc1cccc(C(=O)[O-])c1,Cc1ccccc1,9,13,70.4455311758409
24,Cc1cc(-c2ccc(-c3ccc(C(=O)[O-])cc3C)c(C)c2)c(C)cc1C(=O)[O-],Cc1ccc(C)c(C(=O)[O-])c1.Cc1cccc(C(=O)[O-])c1,Cc1ccccc1,9,13,70.44747594388897
25,Cc1cc(-c2ccc(-c3ccc(C(=O)[O-])cc3C)c(C)c2)c(C)cc1C(=O)[O-],Cc1ccc(C)c(C(=O)[O-])c1.Cc1cccc(C(=O)[O-])c1,Cc1ccccc1,9,13,70.48007611554787
26,Cc1cc(-c2ccc(-c3ccc(C(=O)[O-])cc3C)c(C)c2)c(C)cc1C(=O)[O-],Cc1ccc(C)c(C(=O)[O-])c1.Cc1cccc(C(=O)[O-])c1,Cc1ccccc1,9,13,70.53856168689941
27,Cc1cc(-c2ccc(-c3ccc(C(=O)[O-])cc3C)c(C)c2)c(C)cc1C(=O)[O-],Cc1ccc(C)c(C(=O)[O-])c1.Cc1cccc(C(=O)[O-])c1,Cc1ccccc1,9,13,70.53968529370403
28,Cc1cc(C(=O)[O-])ccc1-c1c(C)cc(-c2c(C)cc(C(=O)[O-])c(C)c2C)cc1C,Cc1cc(C)c(C)c(C(=O)[O-])c1.Cc1cccc(C(=O)[O-])c1,Cc1cccc(C)c1,11,21,81.64239758364175
29,Cc1cc(C(=O)[O-])ccc1-c1c(C)cc(-c2c(C)cc(C(=O)[O-])c(C)c2C)cc1C,Cc1cc(C)c(C)c(C(=O)[O-])c1.Cc1cccc(C(=O)[O-])c1,Cc1cccc(C)c1,11,21,81.64242533643626
30,Cc1cc(C(=O)[O-])ccc1-c1c(C)cc(-c2c(C)cc(C(=O)[O-])c(C)c2C)cc1C,Cc1cc(C)c(C)c(C(=O)[O-])c1.Cc1cccc(C(=O)[O-])c1,Cc1cccc(C)c1,11,21,81.64365611443273
31,Cc1cc(C(=O)[O-])ccc1-c1c(C)cc(-c2c(C)cc(C(=O)[O-])c(C)c2C)cc1C,Cc1cc(C)c(C)c(C(=O)[O-])c1.Cc1cccc(C(=O)[O-])c1,Cc1cccc(C)c1,11,21,81.64382144388729
32,Cc1cc(C(=O)[O-])ccc1-c1c(C)cc(-c2c(C)cc(C(=O)[O-])c(C)c2C)cc1C,Cc1cc(C)c(C)c(C(=O)[O-])c1.Cc1cccc(C(=O)[O-])c1,Cc1cccc(C)c1,11,21,81.6455963180706
33,Cc1cc(C(=O)[O-])ccc1-c1c(C)cc(-c2c(C)cc(C(=O)[O-])c(C)c2C)cc1C,Cc1cc(C)c(C)c(C(=O)[O-])c1.Cc1cccc(C(=O)[O-])c1,Cc1cccc(C)c1,11,21,81.70373414560943
34,Cc1cc(C(=O)[O-])ccc1-c1c(C)cc(-c2c(C)cc(C(=O)[O-])c(C)c2C)cc1C,Cc1cc(C)c(C)c(C(=O)[O-])c1.Cc1cccc(C(=O)[O-])c1,Cc1cccc(C)c1,11,21,81.70395361550675
35,Cc1cc(C(=O)[O-])ccc1-c1c(C)cc(-c2c(C)cc(C(=O)[O-])c(C)c2C)cc1C,Cc1cc(C)c(C)c(C(=O)[O-])c1.Cc1cccc(C(=O)[O-])c1,Cc1cccc(C)c1,11,21,81.70686443938416
