uuid,molecule,fragments,linker,anchor_1,anchor_2,energy
0,NC(=Cc1ccc(C(=O)[O-])cc1)c1ccc(C(=O)[O-])cc1N,Nc1cccc(C(=O)[O-])c1.O=C([O-])c1ccccc1,C=CN,9,16,46.4751033609116
1,NC(=Cc1ccc(C(=O)[O-])cc1)c1ccc(C(=O)[O-])cc1N,Nc1cccc(C(=O)[O-])c1.O=C([O-])c1ccccc1,C=CN,9,16,46.54303007932016
2,NC(=Cc1ccc(C(=O)[O-])cc1)c1ccc(C(=O)[O-])cc1N,Nc1cccc(C(=O)[O-])c1.O=C([O-])c1ccccc1,C=CN,9,16,48.20402736765803
3,NC(=Cc1ccc(C(=O)[O-])cc1)c1ccc(C(=O)[O-])cc1N,Nc1cccc(C(=O)[O-])c1.O=C([O-])c1ccccc1,C=CN,9,16,48.204027413093925
4,NC(=Cc1ccc(C(=O)[O-])cc1)c1ccc(C(=O)[O-])cc1N,Nc1cccc(C(=O)[O-])c1.O=C([O-])c1ccccc1,C=CN,9,16,48.204220630256714
5,NC(=Cc1ccc(C(=O)[O-])cc1)c1ccc(C(=O)[O-])cc1N,Nc1cccc(C(=O)[O-])c1.O=C([O-])c1ccccc1,C=CN,9,16,48.2409782809799
6,NC(=Cc1ccc(C(=O)[O-])cc1)c1ccc(C(=O)[O-])cc1N,Nc1cccc(C(=O)[O-])c1.O=C([O-])c1ccccc1,C=CN,9,16,48.24097829025202
7,NC(=Cc1ccc(C(=O)[O-])cc1)c1ccc(C(=O)[O-])cc1N,Nc1cccc(C(=O)[O-])c1.O=C([O-])c1ccccc1,C=CN,9,16,48.2409783274042
8,NC(=Cc1ccc(C(=O)[O-])cc1)c1ccc(C(=O)[O-])cc1N,Nc1cccc(C(=O)[O-])c1.O=C([O-])c1ccccc1,C=CN,9,16,48.24097844378868
9,NC(=Cc1ccc(C(=O)[O-])cc1)c1ccc(C(=O)[O-])cc1N,Nc1cccc(C(=O)[O-])c1.O=C([O-])c1ccccc1,C=CN,9,16,48.24304873210798
10,NC(=Cc1ccc(C(=O)[O-])cc1)c1ccc(C(=O)[O-])cc1N,Nc1cccc(C(=O)[O-])c1.O=C([O-])c1ccccc1,C=CN,9,16,48.24304888163803
11,Cc1nccc(-c2nnc(-c3ccncc3)nn2)c1C,Cc1cccnc1C.c1ccncc1,c1nncnn1,5,10,47.08918055993859
12,Cc1nccc(-c2nnc(-c3ccncc3)nn2)c1C,Cc1cccnc1C.c1ccncc1,c1nncnn1,5,10,47.08918056405307
13,Cc1nccc(-c2nnc(-c3ccncc3)nn2)c1C,Cc1cccnc1C.c1ccncc1,c1nncnn1,5,10,47.089180566238255
14,Cc1nccc(-c2nnc(-c3ccncc3)nn2)c1C,Cc1cccnc1C.c1ccncc1,c1nncnn1,5,10,47.089180566642675
15,Cc1nccc(-c2nnc(-c3ccncc3)nn2)c1C,Cc1cccnc1C.c1ccncc1,c1nncnn1,5,10,47.089180567175816
16,Cc1nccc(-c2nnc(-c3ccncc3)nn2)c1C,Cc1cccnc1C.c1ccncc1,c1nncnn1,5,10,47.0891805757707
17,Cc1nccc(-c2nnc(-c3ccncc3)nn2)c1C,Cc1cccnc1C.c1ccncc1,c1nncnn1,5,10,47.08918058244677
18,CC(C#CC(=O)[O-])=C(C)C#CC(=O)[O-],C#CC(=O)[O-].C#CC(=O)[O-],CC=CC,4,9,5.192212176541918
19,CC(C#CC(=O)[O-])=C(C)C#CC(=O)[O-],C#CC(=O)[O-].C#CC(=O)[O-],CC=CC,4,9,5.192212176541918
20,CC(C#CC(=O)[O-])=C(C)C#CC(=O)[O-],C#CC(=O)[O-].C#CC(=O)[O-],CC=CC,4,9,5.192212176541918
21,CC(C#CC(=O)[O-])=C(C)C#CC(=O)[O-],C#CC(=O)[O-].C#CC(=O)[O-],CC=CC,4,9,5.195401723375716
22,CC(C#CC(=O)[O-])=C(C)C#CC(=O)[O-],C#CC(=O)[O-].C#CC(=O)[O-],CC=CC,4,9,5.195401723375716
23,CC(C#CC(=O)[O-])=C(C)C#CC(=O)[O-],C#CC(=O)[O-].C#CC(=O)[O-],CC=CC,4,9,5.195401723375716
24,CC(C#CC(=O)[O-])=C(C)C#CC(=O)[O-],C#CC(=O)[O-].C#CC(=O)[O-],CC=CC,4,9,5.332020847754729
25,CC(C#CC(=O)[O-])=C(C)C#CC(=O)[O-],C#CC(=O)[O-].C#CC(=O)[O-],CC=CC,4,9,5.332020847754729
26,CC(C#CC(=O)[O-])=C(C)C#CC(=O)[O-],C#CC(=O)[O-].C#CC(=O)[O-],CC=CC,4,9,5.332020847754729
