uuid,molecule,fragments,linker,anchor_1,anchor_2,energy
0,O=C([O-])c1cc(Cl)c(-c2nnc(-c3ccc(C(=O)[O-])c(Cl)c3Cl)nn2)cc1Cl,O=C([O-])c1cc(Cl)ccc1Cl.O=C([O-])c1cccc(Cl)c1Cl,c1nncnn1,7,17,60.18509881055206
1,O=C([O-])c1cc(Cl)c(-c2nnc(-c3ccc(C(=O)[O-])c(Cl)c3Cl)nn2)cc1Cl,O=C([O-])c1cc(Cl)ccc1Cl.O=C([O-])c1cccc(Cl)c1Cl,c1nncnn1,7,17,60.220211692008725
2,O=C([O-])c1cc(Cl)c(-c2nnc(-c3ccc(C(=O)[O-])c(Cl)c3Cl)nn2)cc1Cl,O=C([O-])c1cc(Cl)ccc1Cl.O=C([O-])c1cccc(Cl)c1Cl,c1nncnn1,7,17,60.22021173985139
3,O=C([O-])c1cc(Cl)c(-c2nnc(-c3ccc(C(=O)[O-])c(Cl)c3Cl)nn2)cc1Cl,O=C([O-])c1cc(Cl)ccc1Cl.O=C([O-])c1cccc(Cl)c1Cl,c1nncnn1,7,17,60.38878069036173
4,O=C([O-])c1cc(Cl)c(-c2nnc(-c3ccc(C(=O)[O-])c(Cl)c3Cl)nn2)cc1Cl,O=C([O-])c1cc(Cl)ccc1Cl.O=C([O-])c1cccc(Cl)c1Cl,c1nncnn1,7,17,60.4267686600175
5,O=C([O-])c1cc(Cl)c(-c2nnc(-c3ccc(C(=O)[O-])c(Cl)c3Cl)nn2)cc1Cl,O=C([O-])c1cc(Cl)ccc1Cl.O=C([O-])c1cccc(Cl)c1Cl,c1nncnn1,7,17,60.46181348774899
6,O=C([O-])c1cc(Cl)c(-c2nnc(-c3ccc(C(=O)[O-])c(Cl)c3Cl)nn2)cc1Cl,O=C([O-])c1cc(Cl)ccc1Cl.O=C([O-])c1cccc(Cl)c1Cl,c1nncnn1,7,17,60.46181351550981
7,O=C([O-])c1cc(Cl)c(-c2nnc(-c3ccc(C(=O)[O-])c(Cl)c3Cl)nn2)cc1Cl,O=C([O-])c1cc(Cl)ccc1Cl.O=C([O-])c1cccc(Cl)c1Cl,c1nncnn1,7,17,60.66546853729366
8,O=C([O-])c1cc(C(=O)[O-])cc(-c2ccc(-c3cc(C(=O)[O-])cc(C(=O)[O-])c3)cc2)c1,O=C([O-])c1cccc(C(=O)[O-])c1.O=C([O-])c1cccc(C(=O)[O-])c1,c1ccccc1,10,22,56.75779492849338
9,O=C([O-])c1cc(C(=O)[O-])cc(-c2ccc(-c3cc(C(=O)[O-])cc(C(=O)[O-])c3)cc2)c1,O=C([O-])c1cccc(C(=O)[O-])c1.O=C([O-])c1cccc(C(=O)[O-])c1,c1ccccc1,10,22,56.759900648916826
10,O=C([O-])c1cc(C(=O)[O-])cc(-c2ccc(-c3cc(C(=O)[O-])cc(C(=O)[O-])c3)cc2)c1,O=C([O-])c1cccc(C(=O)[O-])c1.O=C([O-])c1cccc(C(=O)[O-])c1,c1ccccc1,10,22,56.759900658950585
