uuid,molecule,fragments,linker,anchor_1,anchor_2,energy
0,N#CC(=Cc1cc(C#N)c(C(=O)[O-])cc1C#N)c1cc(C#N)c(C(=O)[O-])cc1C#N,N#Cc1ccc(C#N)c(C(=O)[O-])c1.N#Cc1ccc(C#N)c(C(=O)[O-])c1,C=CC#N,4,17,53.94880791222118
1,N#CC(=Cc1cc(C#N)c(C(=O)[O-])cc1C#N)c1cc(C#N)c(C(=O)[O-])cc1C#N,N#Cc1ccc(C#N)c(C(=O)[O-])c1.N#Cc1ccc(C#N)c(C(=O)[O-])c1,C=CC#N,4,17,54.12820568234028
2,N#CC(=Cc1cc(C#N)c(C(=O)[O-])cc1C#N)c1cc(C#N)c(C(=O)[O-])cc1C#N,N#Cc1ccc(C#N)c(C(=O)[O-])c1.N#Cc1ccc(C#N)c(C(=O)[O-])c1,C=CC#N,4,17,55.25701498590991
3,N#CC(=Cc1cc(C#N)c(C(=O)[O-])cc1C#N)c1cc(C#N)c(C(=O)[O-])cc1C#N,N#Cc1ccc(C#N)c(C(=O)[O-])c1.N#Cc1ccc(C#N)c(C(=O)[O-])c1,C=CC#N,4,17,55.25739860172106
4,N#CC(=Cc1cc(C#N)c(C(=O)[O-])cc1C#N)c1cc(C#N)c(C(=O)[O-])cc1C#N,N#Cc1ccc(C#N)c(C(=O)[O-])c1.N#Cc1ccc(C#N)c(C(=O)[O-])c1,C=CC#N,4,17,55.6934067199392
5,N#CC(=Cc1cc(C#N)c(C(=O)[O-])cc1C#N)c1cc(C#N)c(C(=O)[O-])cc1C#N,N#Cc1ccc(C#N)c(C(=O)[O-])c1.N#Cc1ccc(C#N)c(C(=O)[O-])c1,C=CC#N,4,17,55.73385179966658
6,N#CC(=Cc1cc(C#N)c(C(=O)[O-])cc1C#N)c1cc(C#N)c(C(=O)[O-])cc1C#N,N#Cc1ccc(C#N)c(C(=O)[O-])c1.N#Cc1ccc(C#N)c(C(=O)[O-])c1,C=CC#N,4,17,55.743543460285096
7,N#CC(=Cc1cc(C#N)c(C(=O)[O-])cc1C#N)c1cc(C#N)c(C(=O)[O-])cc1C#N,N#Cc1ccc(C#N)c(C(=O)[O-])c1.N#Cc1ccc(C#N)c(C(=O)[O-])c1,C=CC#N,4,17,55.83896516024962
8,N#CC(=Cc1cc(C#N)c(C(=O)[O-])cc1C#N)c1cc(C#N)c(C(=O)[O-])cc1C#N,N#Cc1ccc(C#N)c(C(=O)[O-])c1.N#Cc1ccc(C#N)c(C(=O)[O-])c1,C=CC#N,4,17,55.90271168326898
9,N#CC(=Cc1cc(C#N)c(C(=O)[O-])cc1C#N)c1cc(C#N)c(C(=O)[O-])cc1C#N,N#Cc1ccc(C#N)c(C(=O)[O-])c1.N#Cc1ccc(C#N)c(C(=O)[O-])c1,C=CC#N,4,17,55.99415370403408
10,N#CC(=Cc1cc(C#N)c(C(=O)[O-])cc1C#N)c1cc(C#N)c(C(=O)[O-])cc1C#N,N#Cc1ccc(C#N)c(C(=O)[O-])c1.N#Cc1ccc(C#N)c(C(=O)[O-])c1,C=CC#N,4,17,55.99648670965127
11,N#CC(=Cc1cc(C#N)c(C(=O)[O-])cc1C#N)c1cc(C#N)c(C(=O)[O-])cc1C#N,N#Cc1ccc(C#N)c(C(=O)[O-])c1.N#Cc1ccc(C#N)c(C(=O)[O-])c1,C=CC#N,4,17,56.29512082588656
12,N#CC(=Cc1cc(C#N)c(C(=O)[O-])cc1C#N)c1cc(C#N)c(C(=O)[O-])cc1C#N,N#Cc1ccc(C#N)c(C(=O)[O-])c1.N#Cc1ccc(C#N)c(C(=O)[O-])c1,C=CC#N,4,17,56.46673211751402
13,N#CC(=Cc1cc(C#N)c(C(=O)[O-])cc1C#N)c1cc(C#N)c(C(=O)[O-])cc1C#N,N#Cc1ccc(C#N)c(C(=O)[O-])c1.N#Cc1ccc(C#N)c(C(=O)[O-])c1,C=CC#N,4,17,56.84893845646816
14,N#CC(=Cc1cc(C#N)c(C(=O)[O-])cc1C#N)c1cc(C#N)c(C(=O)[O-])cc1C#N,N#Cc1ccc(C#N)c(C(=O)[O-])c1.N#Cc1ccc(C#N)c(C(=O)[O-])c1,C=CC#N,4,17,56.856454507182505
15,N#CC(=Cc1cc(C#N)c(C(=O)[O-])cc1C#N)c1cc(C#N)c(C(=O)[O-])cc1C#N,N#Cc1ccc(C#N)c(C(=O)[O-])c1.N#Cc1ccc(C#N)c(C(=O)[O-])c1,C=CC#N,4,17,56.85920933991314
16,N#CC(=Cc1cc(C#N)c(C(=O)[O-])cc1C#N)c1cc(C#N)c(C(=O)[O-])cc1C#N,N#Cc1ccc(C#N)c(C(=O)[O-])c1.N#Cc1ccc(C#N)c(C(=O)[O-])c1,C=CC#N,4,17,57.04363649468155
17,N#CC(C#CC(=O)[O-])=CC#CC(=O)[O-],C#CC(=O)[O-].C#CC(=O)[O-],C=CC#N,4,9,1.3974196576469808
18,N#CC(C#CC(=O)[O-])=CC#CC(=O)[O-],C#CC(=O)[O-].C#CC(=O)[O-],C=CC#N,4,9,1.3974196576469808
19,N#CC(C#CC(=O)[O-])=CC#CC(=O)[O-],C#CC(=O)[O-].C#CC(=O)[O-],C=CC#N,4,9,1.4005155342265094
20,N#CC(C#CC(=O)[O-])=CC#CC(=O)[O-],C#CC(=O)[O-].C#CC(=O)[O-],C=CC#N,4,9,1.4005155342265094
21,N#CC(C#CC(=O)[O-])=CC#CC(=O)[O-],C#CC(=O)[O-].C#CC(=O)[O-],C=CC#N,4,9,1.4005349913343124
22,N#CC(C#CC(=O)[O-])=CC#CC(=O)[O-],C#CC(=O)[O-].C#CC(=O)[O-],C=CC#N,4,9,1.4005349913343124
23,N#CC(C#CC(=O)[O-])=CC#CC(=O)[O-],C#CC(=O)[O-].C#CC(=O)[O-],C=CC#N,4,9,1.4052978225556367
24,N#CC(C#CC(=O)[O-])=CC#CC(=O)[O-],C#CC(=O)[O-].C#CC(=O)[O-],C=CC#N,4,9,1.4052978225556367
25,N#CC(C#CC(=O)[O-])=CC#CC(=O)[O-],C#CC(=O)[O-].C#CC(=O)[O-],C=CC#N,4,9,1.6228878632730201
