uuid,molecule,fragments,linker,anchor_1,anchor_2,energy
0,O=C([O-])c1ccc(C=C(c2ccccc2)c2ccc(C(=O)[O-])c(-c3ccccc3)c2)cc1-c1ccccc1,O=C([O-])c1ccccc1-c1ccccc1.O=C([O-])c1ccccc1-c1ccccc1,C=Cc1ccccc1,6,21,101.10556905102845
1,O=C([O-])c1ccc(C=C(c2ccccc2)c2ccc(C(=O)[O-])c(-c3ccccc3)c2)cc1-c1ccccc1,O=C([O-])c1ccccc1-c1ccccc1.O=C([O-])c1ccccc1-c1ccccc1,C=Cc1ccccc1,6,21,101.73333043663212
2,O=C([O-])c1ccc(C=C(c2ccccc2)c2ccc(C(=O)[O-])c(-c3ccccc3)c2)cc1-c1ccccc1,O=C([O-])c1ccccc1-c1ccccc1.O=C([O-])c1ccccc1-c1ccccc1,C=Cc1ccccc1,6,21,101.78069093620239
3,O=C([O-])c1ccc(C=C(c2ccccc2)c2ccc(C(=O)[O-])c(-c3ccccc3)c2)cc1-c1ccccc1,O=C([O-])c1ccccc1-c1ccccc1.O=C([O-])c1ccccc1-c1ccccc1,C=Cc1ccccc1,6,21,102.69448043939674
4,O=C([O-])c1ccc(C=C(c2ccccc2)c2ccc(C(=O)[O-])c(-c3ccccc3)c2)cc1-c1ccccc1,O=C([O-])c1ccccc1-c1ccccc1.O=C([O-])c1ccccc1-c1ccccc1,C=Cc1ccccc1,6,21,103.20431869755497
5,O=C([O-])c1ccc(C=C(c2ccccc2)c2ccc(C(=O)[O-])c(-c3ccccc3)c2)cc1-c1ccccc1,O=C([O-])c1ccccc1-c1ccccc1.O=C([O-])c1ccccc1-c1ccccc1,C=Cc1ccccc1,6,21,103.25554799987692
6,O=C([O-])c1ccc(C=C(c2ccccc2)c2ccc(C(=O)[O-])c(-c3ccccc3)c2)cc1-c1ccccc1,O=C([O-])c1ccccc1-c1ccccc1.O=C([O-])c1ccccc1-c1ccccc1,C=Cc1ccccc1,6,21,103.35805877865035
7,O=C([O-])c1ccc(C=C(c2ccccc2)c2ccc(C(=O)[O-])c(-c3ccccc3)c2)cc1-c1ccccc1,O=C([O-])c1ccccc1-c1ccccc1.O=C([O-])c1ccccc1-c1ccccc1,C=Cc1ccccc1,6,21,103.52231275961476
8,O=C([O-])c1ccc(C=C(c2ccccc2)c2ccc(C(=O)[O-])c(-c3ccccc3)c2)cc1-c1ccccc1,O=C([O-])c1ccccc1-c1ccccc1.O=C([O-])c1ccccc1-c1ccccc1,C=Cc1ccccc1,6,21,103.77946064789013
9,O=C([O-])c1ccc(C=C(c2ccccc2)c2ccc(C(=O)[O-])c(-c3ccccc3)c2)cc1-c1ccccc1,O=C([O-])c1ccccc1-c1ccccc1.O=C([O-])c1ccccc1-c1ccccc1,C=Cc1ccccc1,6,21,103.78540795689977
10,O=C([O-])c1ccc(C=C(c2ccccc2)c2ccc(C(=O)[O-])c(-c3ccccc3)c2)cc1-c1ccccc1,O=C([O-])c1ccccc1-c1ccccc1.O=C([O-])c1ccccc1-c1ccccc1,C=Cc1ccccc1,6,21,103.87594215983103
11,O=C([O-])c1ccc(C=C(c2ccccc2)c2ccc(C(=O)[O-])c(-c3ccccc3)c2)cc1-c1ccccc1,O=C([O-])c1ccccc1-c1ccccc1.O=C([O-])c1ccccc1-c1ccccc1,C=Cc1ccccc1,6,21,103.95941821424111
12,O=C([O-])c1ccc(C=C(c2ccccc2)c2ccc(C(=O)[O-])c(-c3ccccc3)c2)cc1-c1ccccc1,O=C([O-])c1ccccc1-c1ccccc1.O=C([O-])c1ccccc1-c1ccccc1,C=Cc1ccccc1,6,21,104.02315956909361
13,O=C([O-])c1ccc(C=C(c2ccccc2)c2ccc(C(=O)[O-])c(-c3ccccc3)c2)cc1-c1ccccc1,O=C([O-])c1ccccc1-c1ccccc1.O=C([O-])c1ccccc1-c1ccccc1,C=Cc1ccccc1,6,21,104.03295114625021
14,O=C([O-])c1ccc(C=C(c2ccccc2)c2ccc(C(=O)[O-])c(-c3ccccc3)c2)cc1-c1ccccc1,O=C([O-])c1ccccc1-c1ccccc1.O=C([O-])c1ccccc1-c1ccccc1,C=Cc1ccccc1,6,21,104.03295177473738
15,O=C([O-])c1ccc(C=C(c2ccccc2)c2ccc(C(=O)[O-])c(-c3ccccc3)c2)cc1-c1ccccc1,O=C([O-])c1ccccc1-c1ccccc1.O=C([O-])c1ccccc1-c1ccccc1,C=Cc1ccccc1,6,21,104.06368580602094
