uuid,molecule,fragments,linker,anchor_1,anchor_2,energy,idx,keep
0,CCCc1cc(-c2nnc(-c3ccc(C(=O)[O-])c(CCC)c3CCC)nn2)c(CCC)cc1C(=O)[O-],CCCc1ccc(CCC)c(C(=O)[O-])c1.CCCc1cccc(C(=O)[O-])c1CCC,c1nncnn1,10,20,82.47176561842335,0,True
20,O=C([O-])c1ccc(-c2ccc(-c3ccc(C(=O)[O-])cc3)cc2)cc1,O=C([O-])c1ccccc1.O=C([O-])c1ccccc1,c1ccccc1,6,15,51.05367601724215,20,True
0,CCc1c(C(=O)[O-])ccc(-c2nnc(-c3ccc(C(=O)[O-])c(CC)c3CC)nn2)c1CC,CCc1cccc(C(=O)[O-])c1CC.CCc1cccc(C(=O)[O-])c1CC,c1nncnn1,9,22,87.14316155107691,0,True
14,O=C([O-])c1ccc(-c2nnc(-c3ccc(C(=O)[O-])cc3)nn2)cc1,O=C([O-])c1ccccc1.O=C([O-])c1ccccc1,c1nncnn1,6,15,42.17698017191583,14,True
0,O=C([O-])c1ccc(-c2nnc(-c3ccc(C(=O)[O-])cc3)nn2)cc1,O=C([O-])c1ccccc1.O=C([O-])c1ccccc1,c1nncnn1,6,15,42.17698017191583,0,True
14,O=C([O-])c1cc(F)c(-c2nnc(-c3cc(F)c(C(=O)[O-])c(F)c3F)nn2)c(F)c1,O=C([O-])c1c(F)ccc(F)c1F.O=C([O-])c1cc(F)cc(F)c1,c1nncnn1,7,19,49.14187850088976,14,True
0,O=C([O-])c1ccc(C=C(Cl)c2ccc(C(=O)[O-])c(Cl)c2Cl)cc1,O=C([O-])c1cccc(Cl)c1Cl.O=C([O-])c1ccccc1,C=CCl,6,17,49.40506723607232,0,True
15,Nc1cc(-c2ccc(-c3c(N)cc(C(=O)[O-])c(N)c3N)cc2N)c(N)cc1C(=O)[O-],Nc1cc(N)c(N)c(C(=O)[O-])c1.Nc1ccc(N)c(C(=O)[O-])c1,Nc1ccccc1,11,15,81.3926454282494,15,True
0,CCCC(C#CC(=O)[O-])=CC#CC(=O)[O-],C#CC(=O)[O-].C#CC(=O)[O-],C=CCCC,4,9,3.972584732247089,0,True
27,CCCc1cc(-c2nnc(-c3c(CCC)c(CCC)c(C(=O)[O-])c(CCC)c3CCC)nn2)c(CCC)cc1C(=O)[O-],CCCc1cc(CCC)c(CCC)c(C(=O)[O-])c1CCC.CCCc1ccc(CCC)c(C(=O)[O-])c1,c1nncnn1,8,26,102.52996980955048,27,True
0,COc1cc(-c2nnc(-c3ccc(C(=O)[O-])cc3OC)nn2)ccc1C(=O)[O-],COc1cccc(C(=O)[O-])c1.COc1ccccc1C(=O)[O-],c1nncnn1,10,15,53.0351845144891,0,True
7,O=C([O-])c1c(F)cc(-c2nnc(-c3c(F)c(F)c(C(=O)[O-])c(F)c3F)nn2)c(F)c1F,O=C([O-])c1c(F)c(F)cc(F)c1F.O=C([O-])c1c(F)ccc(F)c1F,c1nncnn1,8,20,51.92215480875911,7,True
0,CC(=Cc1ccc(C(=O)[O-])cc1C)c1ccc(C(=O)[O-])c(C)c1,Cc1cccc(C(=O)[O-])c1.Cc1ccccc1C(=O)[O-],C=CC,9,13,54.46224547854297,0,True
11,CCc1cc(-c2cc(CC)c(-c3cc(CC)c(C(=O)[O-])cc3CC)cc2CC)ccc1C(=O)[O-],CCc1ccc(CC)c(C(=O)[O-])c1.CCc1ccccc1C(=O)[O-],CCc1ccc(CC)cc1,4,17,79.7323497658643,11,True
0,O=C([O-])c1cc(F)c(C(F)=C(F)c2ccc(C(=O)[O-])c(F)c2F)cc1F,O=C([O-])c1cc(F)ccc1F.O=C([O-])c1cccc(F)c1F,FC=CF,7,17,45.50900913260385,0,True
17,O=C([O-])c1c(F)cc(-c2nnc(-c3c(F)c(F)c(C(=O)[O-])c(F)c3F)nn2)cc1F,O=C([O-])c1c(F)c(F)cc(F)c1F.O=C([O-])c1c(F)cccc1F,c1nncnn1,8,20,50.37922378882153,17,True
0,CCCOc1cc(-c2nnc(-c3ccc(C(=O)[O-])cc3)nn2)c(OCCC)cc1C(=O)[O-],CCCOc1ccc(OCCC)c(C(=O)[O-])c1.O=C([O-])c1ccccc1,c1nncnn1,6,23,54.02465174028182,0,True
15,CCc1cc(-c2nnc(-c3cc(CC)c(C(=O)[O-])c(CC)c3CC)nn2)c(CC)cc1C(=O)[O-],CCc1ccc(CC)c(C(=O)[O-])c1.CCc1ccc(CC)c(C(=O)[O-])c1CC,c1nncnn1,4,19,86.5153576954478,15,True
0,CCc1cc(C(=O)[O-])ccc1-c1nnc(-c2ccc(C(=O)[O-])c(CC)c2CC)nn1,CCc1cccc(C(=O)[O-])c1.CCc1cccc(C(=O)[O-])c1CC,c1nncnn1,9,23,72.42581652010287,0,True
26,O=C([O-])c1ccc(C=C(F)c2ccc(C(=O)[O-])c(F)c2F)cc1F,O=C([O-])c1cccc(F)c1F.O=C([O-])c1ccccc1F,C=CF,6,16,42.82978058930073,26,True
0,CCc1cc(-c2nnc(-c3c(CC)cc(C(=O)[O-])c(CC)c3CC)nn2)c(CC)c(CC)c1C(=O)[O-],CCc1cc(CC)c(CC)c(C(=O)[O-])c1.CCc1ccc(CC)c(C(=O)[O-])c1CC,c1nncnn1,14,19,98.48024137104017,0,True
20,CCc1cc(-c2nnc(-c3cc(CC)c(C(=O)[O-])cc3CC)nn2)c(CC)cc1C(=O)[O-],CCc1ccc(CC)c(C(=O)[O-])c1.CCc1ccc(CC)c(C(=O)[O-])c1,c1nncnn1,4,17,74.05235951328778,20,True
0,O=C([O-])c1c(Cl)cc(-c2ccc(-c3cc(Cl)c(C(=O)[O-])c(Cl)c3Cl)cc2)cc1Cl,O=C([O-])c1c(Cl)ccc(Cl)c1Cl.O=C([O-])c1c(Cl)cccc1Cl,c1ccccc1,7,18,69.18240222776467,0,True
14,CCCC(C#CC(=O)[O-])=CC#CC(=O)[O-],C#CC(=O)[O-].C#CC(=O)[O-],C=CCCC,4,9,3.972584732247089,14,True
0,O=C([O-])c1ccc(C=C(F)c2cc(F)c(C(=O)[O-])cc2F)c(F)c1,O=C([O-])c1cc(F)ccc1F.O=C([O-])c1cccc(F)c1,C=CF,7,17,42.13481431785683,0,True
15,N#Cc1cc(-c2nnc(-c3ccc(C(=O)[O-])c(C#N)c3)nn2)ccc1C(=O)[O-],N#Cc1ccccc1C(=O)[O-].N#Cc1ccccc1C(=O)[O-],c1nncnn1,4,15,50.09235865741203,15,True
0,CCc1cc(-c2nnc(-c3ccc(C(=O)[O-])c(CC)c3CC)nn2)c(CC)cc1C(=O)[O-],CCc1ccc(CC)c(C(=O)[O-])c1.CCc1cccc(C(=O)[O-])c1CC,c1nncnn1,9,17,80.73141370424092,0,True
14,N#CC(C#CC(=O)[O-])=CC#CC(=O)[O-],C#CC(=O)[O-].C#CC(=O)[O-],C=CC#N,4,9,1.3974196576469808,14,True
0,N#Cc1cc(-c2nnc(-c3ccc(C(=O)[O-])c(C#N)c3C#N)nn2)c(C#N)cc1C(=O)[O-],N#Cc1ccc(C#N)c(C(=O)[O-])c1.N#Cc1cccc(C(=O)[O-])c1C#N,c1nncnn1,9,17,61.288209640935015,0,True
26,CC(C#CC(=O)[O-])=C(C)C#CC(=O)[O-],C#CC(=O)[O-].C#CC(=O)[O-],CC=CC,4,9,5.192212176541918,26,True
0,Cc1cc(-c2cc(C)c(-c3ccc(C(=O)[O-])cc3C)cc2C)c(C)cc1C(=O)[O-],Cc1ccc(C)c(C(=O)[O-])c1.Cc1cccc(C(=O)[O-])c1,Cc1ccc(C)cc1,9,13,73.2964693201379,0,True
6,O=C([O-])c1ccc(-c2cc(Cl)c(-c3cc(Cl)c(C(=O)[O-])cc3Cl)cc2Cl)c(Cl)c1,O=C([O-])c1cc(Cl)ccc1Cl.O=C([O-])c1cccc(Cl)c1,Clc1ccc(Cl)cc1,7,17,61.4922425527236,6,True
0,Nc1cc(-c2nnc(-c3cc(N)c(C(=O)[O-])c(N)c3N)nn2)ccc1C(=O)[O-],Nc1ccc(N)c(C(=O)[O-])c1N.Nc1ccccc1C(=O)[O-],c1nncnn1,3,15,70.63902736009142,0,True
10,CCCC(C#CC(=O)[O-])=CC#CC(=O)[O-],C#CC(=O)[O-].C#CC(=O)[O-],C=CCCC,4,9,3.972584732247089,10,True
0,O=C([O-])C#CC=C(Cl)C#CC(=O)[O-],C#CC(=O)[O-].C#CC(=O)[O-],C=CCl,4,9,1.035110263342132,0,True
7,O=C([O-])C#CC(Cl)=C(Cl)C#CC(=O)[O-],C#CC(=O)[O-].C#CC(=O)[O-],ClC=CCl,4,9,2.384937940529906,7,True
0,CCc1cc(-c2nnc(-c3ccc(C(=O)[O-])cc3)nn2)c(CC)cc1C(=O)[O-],CCc1ccc(CC)c(C(=O)[O-])c1.O=C([O-])c1ccccc1,c1nncnn1,4,19,58.11846394916018,0,True
24,CCCc1c(C(=O)[O-])ccc(-c2nnc(-c3ccc(C(=O)[O-])c(CCC)c3CCC)nn2)c1CCC,CCCc1cccc(C(=O)[O-])c1CCC.CCCc1cccc(C(=O)[O-])c1CCC,c1nncnn1,10,25,87.90567596003686,24,True
