uuid,molecule,fragments,linker,anchor_1,anchor_2,energy
0,O=C([O-])c1ccc(C(O)=C(O)c2cc(O)c(C(=O)[O-])cc2O)cc1O,O=C([O-])c1cc(O)ccc1O.O=C([O-])c1ccccc1O,OC=CO,7,17,51.083282727324836
1,O=C([O-])c1ccc(C(O)=C(O)c2cc(O)c(C(=O)[O-])cc2O)cc1O,O=C([O-])c1cc(O)ccc1O.O=C([O-])c1ccccc1O,OC=CO,7,17,51.931540385990594
2,O=C([O-])c1ccc(C(O)=C(O)c2cc(O)c(C(=O)[O-])cc2O)cc1O,O=C([O-])c1cc(O)ccc1O.O=C([O-])c1ccccc1O,OC=CO,7,17,51.94837990269635
3,O=C([O-])c1ccc(C(O)=C(O)c2cc(O)c(C(=O)[O-])cc2O)cc1O,O=C([O-])c1cc(O)ccc1O.O=C([O-])c1ccccc1O,OC=CO,7,17,52.42855290762302
4,O=C([O-])c1ccc(C(O)=C(O)c2cc(O)c(C(=O)[O-])cc2O)cc1O,O=C([O-])c1cc(O)ccc1O.O=C([O-])c1ccccc1O,OC=CO,7,17,53.17448961137035
5,O=C([O-])c1ccc(C(O)=C(O)c2cc(O)c(C(=O)[O-])cc2O)cc1O,O=C([O-])c1cc(O)ccc1O.O=C([O-])c1ccccc1O,OC=CO,7,17,54.10675973713503
6,O=C([O-])c1ccc(C(O)=C(O)c2cc(O)c(C(=O)[O-])cc2O)cc1O,O=C([O-])c1cc(O)ccc1O.O=C([O-])c1ccccc1O,OC=CO,7,17,54.39075733399771
7,O=C([O-])c1ccc(C(O)=C(O)c2cc(O)c(C(=O)[O-])cc2O)cc1O,O=C([O-])c1cc(O)ccc1O.O=C([O-])c1ccccc1O,OC=CO,7,17,55.47832276225258
8,O=C([O-])c1ccc(C(O)=C(O)c2cc(O)c(C(=O)[O-])cc2O)cc1O,O=C([O-])c1cc(O)ccc1O.O=C([O-])c1ccccc1O,OC=CO,7,17,55.62724769386661
9,O=C([O-])c1ccc(C(O)=C(O)c2cc(O)c(C(=O)[O-])cc2O)cc1O,O=C([O-])c1cc(O)ccc1O.O=C([O-])c1ccccc1O,OC=CO,7,17,56.11947772191727
10,O=C([O-])c1ccc(C(O)=C(O)c2cc(O)c(C(=O)[O-])cc2O)cc1O,O=C([O-])c1cc(O)ccc1O.O=C([O-])c1ccccc1O,OC=CO,7,17,56.286995422817476
11,O=C([O-])c1ccc(C(O)=C(O)c2cc(O)c(C(=O)[O-])cc2O)cc1O,O=C([O-])c1cc(O)ccc1O.O=C([O-])c1ccccc1O,OC=CO,7,17,56.298482605665555
12,O=C([O-])c1ccc(C(O)=C(O)c2cc(O)c(C(=O)[O-])cc2O)cc1O,O=C([O-])c1cc(O)ccc1O.O=C([O-])c1ccccc1O,OC=CO,7,17,56.37459652896224
13,O=C([O-])c1ccc(-c2nnc(-c3cc(Cl)c(C(=O)[O-])cc3Cl)nn2)c(Cl)c1,O=C([O-])c1cc(Cl)ccc1Cl.O=C([O-])c1cccc(Cl)c1,c1nncnn1,7,17,54.187778250238296
14,O=C([O-])c1ccc(-c2nnc(-c3cc(Cl)c(C(=O)[O-])cc3Cl)nn2)c(Cl)c1,O=C([O-])c1cc(Cl)ccc1Cl.O=C([O-])c1cccc(Cl)c1,c1nncnn1,7,17,54.18777825575707
15,O=C([O-])c1ccc(-c2nnc(-c3cc(Cl)c(C(=O)[O-])cc3Cl)nn2)c(Cl)c1,O=C([O-])c1cc(Cl)ccc1Cl.O=C([O-])c1cccc(Cl)c1,c1nncnn1,7,17,54.18901558999861
16,O=C([O-])c1ccc(-c2nnc(-c3cc(Cl)c(C(=O)[O-])cc3Cl)nn2)c(Cl)c1,O=C([O-])c1cc(Cl)ccc1Cl.O=C([O-])c1cccc(Cl)c1,c1nncnn1,7,17,54.220125553171215
17,O=C([O-])c1ccc(-c2nnc(-c3cc(Cl)c(C(=O)[O-])cc3Cl)nn2)c(Cl)c1,O=C([O-])c1cc(Cl)ccc1Cl.O=C([O-])c1cccc(Cl)c1,c1nncnn1,7,17,54.4294312810102
18,O=C([O-])c1ccc(-c2nnc(-c3cc(Cl)c(C(=O)[O-])cc3Cl)nn2)c(Cl)c1,O=C([O-])c1cc(Cl)ccc1Cl.O=C([O-])c1cccc(Cl)c1,c1nncnn1,7,17,54.46047157793591
19,O=C([O-])c1ccc(-c2nnc(-c3cc(Cl)c(C(=O)[O-])cc3Cl)nn2)c(Cl)c1,O=C([O-])c1cc(Cl)ccc1Cl.O=C([O-])c1cccc(Cl)c1,c1nncnn1,7,17,54.46172695720924
