uuid,molecule,fragments,linker,anchor_1,anchor_2,energy
0,NC(=Cc1cc(N)c(C(=O)[O-])c(N)c1N)c1cc(N)c(C(=O)[O-])c(N)c1,Nc1ccc(N)c(C(=O)[O-])c1N.Nc1cccc(N)c1C(=O)[O-],C=CN,3,14,72.89858075241517
1,NC(=Cc1cc(N)c(C(=O)[O-])c(N)c1N)c1cc(N)c(C(=O)[O-])c(N)c1,Nc1ccc(N)c(C(=O)[O-])c1N.Nc1cccc(N)c1C(=O)[O-],C=CN,3,14,73.83979552638421
2,NC(=Cc1cc(N)c(C(=O)[O-])c(N)c1N)c1cc(N)c(C(=O)[O-])c(N)c1,Nc1ccc(N)c(C(=O)[O-])c1N.Nc1cccc(N)c1C(=O)[O-],C=CN,3,14,74.18493021003452
3,NC(=Cc1cc(N)c(C(=O)[O-])c(N)c1N)c1cc(N)c(C(=O)[O-])c(N)c1,Nc1ccc(N)c(C(=O)[O-])c1N.Nc1cccc(N)c1C(=O)[O-],C=CN,3,14,74.30886399142979
4,NC(=Cc1cc(N)c(C(=O)[O-])c(N)c1N)c1cc(N)c(C(=O)[O-])c(N)c1,Nc1ccc(N)c(C(=O)[O-])c1N.Nc1cccc(N)c1C(=O)[O-],C=CN,3,14,74.30902932658117
5,NC(=Cc1cc(N)c(C(=O)[O-])c(N)c1N)c1cc(N)c(C(=O)[O-])c(N)c1,Nc1ccc(N)c(C(=O)[O-])c1N.Nc1cccc(N)c1C(=O)[O-],C=CN,3,14,74.46015716416518
6,NC(=Cc1cc(N)c(C(=O)[O-])c(N)c1N)c1cc(N)c(C(=O)[O-])c(N)c1,Nc1ccc(N)c(C(=O)[O-])c1N.Nc1cccc(N)c1C(=O)[O-],C=CN,3,14,74.48926974844053
7,NC(=Cc1cc(N)c(C(=O)[O-])c(N)c1N)c1cc(N)c(C(=O)[O-])c(N)c1,Nc1ccc(N)c(C(=O)[O-])c1N.Nc1cccc(N)c1C(=O)[O-],C=CN,3,14,74.6671894330093
8,NC(=Cc1cc(N)c(C(=O)[O-])c(N)c1N)c1cc(N)c(C(=O)[O-])c(N)c1,Nc1ccc(N)c(C(=O)[O-])c1N.Nc1cccc(N)c1C(=O)[O-],C=CN,3,14,74.70692545379642
9,NC(=Cc1cc(N)c(C(=O)[O-])c(N)c1N)c1cc(N)c(C(=O)[O-])c(N)c1,Nc1ccc(N)c(C(=O)[O-])c1N.Nc1cccc(N)c1C(=O)[O-],C=CN,3,14,74.88503453071624
10,Cc1cc(-c2nnc(-c3ccc(C(=O)[O-])cc3)nn2)c(C)cc1C(=O)[O-],Cc1ccc(C)c(C(=O)[O-])c1.O=C([O-])c1ccccc1,c1nncnn1,3,17,55.62431786195225
11,Cc1cc(-c2nnc(-c3ccc(C(=O)[O-])cc3)nn2)c(C)cc1C(=O)[O-],Cc1ccc(C)c(C(=O)[O-])c1.O=C([O-])c1ccccc1,c1nncnn1,3,17,55.62431786555887
12,Cc1cc(-c2nnc(-c3ccc(C(=O)[O-])cc3)nn2)c(C)cc1C(=O)[O-],Cc1ccc(C)c(C(=O)[O-])c1.O=C([O-])c1ccccc1,c1nncnn1,3,17,55.67090456769695
13,Cc1cc(-c2nnc(-c3ccc(C(=O)[O-])cc3)nn2)c(C)cc1C(=O)[O-],Cc1ccc(C)c(C(=O)[O-])c1.O=C([O-])c1ccccc1,c1nncnn1,3,17,55.670909550670146
14,Cc1cc(-c2nnc(-c3ccc(C(=O)[O-])cc3)nn2)c(C)cc1C(=O)[O-],Cc1ccc(C)c(C(=O)[O-])c1.O=C([O-])c1ccccc1,c1nncnn1,3,17,55.67090959323122
15,Cc1cc(-c2nnc(-c3ccc(C(=O)[O-])cc3)nn2)c(C)cc1C(=O)[O-],Cc1ccc(C)c(C(=O)[O-])c1.O=C([O-])c1ccccc1,c1nncnn1,3,17,55.810026615040435
16,Cc1cc(-c2nnc(-c3ccc(C(=O)[O-])cc3)nn2)c(C)cc1C(=O)[O-],Cc1ccc(C)c(C(=O)[O-])c1.O=C([O-])c1ccccc1,c1nncnn1,3,17,55.86472825255763
